enrollmentid,personid,calendarid,grade,startdate,enddate,schoolid,calendar_startdate,calendar_enddate,endyear,zip,schoolname,city_x,startyear,label,active,final_enddate,city_y
132054,84400,424,06,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
134335,84429,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131929,84468,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131945,84496,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
134343,84532,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
134347,84546,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
134334,84757,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
134340,84764,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132134,84765,424,07,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
134338,84770,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132042,84852,424,06,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132252,84875,424,08,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132251,84881,424,08,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
134331,84905,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131977,85024,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
132172,85077,424,07,2020-09-02,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131938,85187,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131973,85211,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131981,85253,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131986,85263,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131923,85276,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131954,85289,424,05,2020-09-01,2021-01-08,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-01-08,Brooklyn
131962,85356,424,05,2020-09-01,2021-06-25,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
131987,85496,424,05,2020-09-01,,65,2020-09-01,2021-06-25,2021,11207,bb,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
